"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","583","test_find_store_order_by_id","tests","Sun Sep 28 19:44:50 UTC 2025","passed","Sun Sep 28 19:44:51 UTC 2025","","test_store_api","",""
"","551","test_get_pets_by_status","tests","Sun Sep 28 19:44:39 UTC 2025","passed","Sun Sep 28 19:44:39 UTC 2025","","test_pet_api","",""
"","289","test_get_store_inventory","tests","Sun Sep 28 19:44:51 UTC 2025","passed","Sun Sep 28 19:44:51 UTC 2025","","test_store_api","",""
"","705","test_update_pet","tests","Sun Sep 28 19:44:38 UTC 2025","passed","Sun Sep 28 19:44:39 UTC 2025","","test_pet_api","",""
"","289","test_create_first_order","tests","Sun Sep 28 19:44:50 UTC 2025","passed","Sun Sep 28 19:44:50 UTC 2025","","test_store_api","",""
"","3946","test_update_pet_with_form","tests","Sun Sep 28 19:44:40 UTC 2025","passed","Sun Sep 28 19:44:44 UTC 2025","","test_pet_api","",""
"","701","test_find_pet_by_id","tests","Sun Sep 28 19:44:39 UTC 2025","passed","Sun Sep 28 19:44:40 UTC 2025","","test_pet_api","",""
"","819","test_add_pet","tests","Sun Sep 28 19:44:37 UTC 2025","passed","Sun Sep 28 19:44:38 UTC 2025","","test_pet_api","",""
"","1328","test_delete_pet","tests","Sun Sep 28 19:44:44 UTC 2025","passed","Sun Sep 28 19:44:45 UTC 2025","","test_pet_api","",""
"","1378","test_delete_purchase_order_by_id","tests","Sun Sep 28 19:44:51 UTC 2025","passed","Sun Sep 28 19:44:53 UTC 2025","","test_store_api","",""
"","5123","test_upload_pet_image","tests","Sun Sep 28 19:44:45 UTC 2025","passed","Sun Sep 28 19:44:50 UTC 2025","","test_pet_api","",""
